leftid,rightid,region,note
12500843,13242336,,
12509506,16841026,,
12551020,14756061,,
12585379,13768622,,
12587013,9015568,,
12598741,15706875,,
12612426,2568522,,
12617396,3844799,,
12634154,2357110,,
12654063,12990900,,
12667895,17425996,,
12670738,17847543,,
12745771,2914206,,
12782494,15585114,,
12789813,16405545,,
12832017,19091931,,
12839441,17125520,,
12840470,10495502,,
12866697,11465297,,
12868041,17340931,,
12869029,13953356,,
12871993,4884579,,
12882387,7563413,,
12923749,10663559,,
12935706,16852421,,
12948470,9275210,,
13028455,4142619,,
13197236,8075484,,
13199414,11234536,,
13206239,8847957,,
13313410,16586265,,
13370624,14756440,,
13380660,14517691,,
13395814,17756162,,
13422280,7589765,,
13714311,8710444,,
13718916,15673454,,
13736919,17877682,,
13743125,17854345,,
13749806,14034206,,
13818467,17813001,,
13830600,16057212,,
13832416,5591201,,
13833814,16316981,,
13849557,6143930,,
13852833,9457719,,
13854190,5476653,,
13966828,3707204,,
13988443,8539175,,
14000746,16699958,,
14034311,5976168,,
14071449,13953546,,
14071613,4411542,,
14073503,5669107,,
14082322,7840791,,
14133114,17166682,,
14158399,17784367,,
14162492,2854715,,
14241490,16924423,,
14260575,16987409,,
14270761,9103710,,
14313750,11889676,,
14319185,8565131,,
14319498,17942676,,
14333371,2932028,,
14333495,13858797,,
14338439,8805777,,
14342744,15618614,,
14434314,13369670,,
14437742,3806652,,
14450919,18220289,,
14451162,17278502,,
14461238,18292832,,
14492757,14656798,,
14493841,11361875,,
14514597,13986477,,
14519756,7467027,,
14539753,12962772,,
14540633,4473922,,
14541927,4235139,,
14570370,13724377,,
14579509,13835439,,
14586769,19048289,,
14617508,14680483,,
14621584,17355864,,
14638686,11891098,,
14651659,13760954,,
14655602,15672269,,
14659793,6651098,,
14723506,17850822,,
14726012,9091922,,
14726069,5805651,,
14756000,13634759,,
14782250,3235409,,
14797760,15679639,,
14818307,3932136,,
14891367,5771934,,
14898816,4230739,KC,
16039470,4241192,KC,
14981128,9039416,,
14995061,16629886,,
14999928,4591713,,
15023806,9845997,,
15028907,11362589,,
15055590,14492880,,
15063529,17326213,,
15096548,13841523,,
15253921,4598109,,
15343835,4114133,,
15365184,5512988,,
15398730,6703240,,
15421363,3299214,,
15431408,16714214,,
15468308,17330632,,
15474790,12928099,,
15488316,8540770,,
15510288,6300434,,
15512408,4917442,,
15514582,8826198,,
15516413,5816138,,
15517247,16335254,,
15519213,5791548,,
15522152,15548844,,
15524629,15736398,,
15525711,9068346,,
15525794,9069084,,
15539984,8271875,,
15541971,5734134,,
15547235,17036160,,
15566333,15568333,,
15568134,5973097,,
15571194,3234817,,
15576292,17384874,,
15577444,5656152,,
15586914,16176721,,
15586949,3180681,,
15587533,11029851,,
15588620,7594047,,
15588711,10945795,,
15590793,17378548,,
15592096,16240569,,
15594113,15590555,,
15605301,15607335,,
15608355,6252764,,
15608953,15632120,,
15612283,8912726,,
15623649,20443457,,
15629759,2659504,,
15632282,16884085,,
15639216,15639331,,
15639294,7571966,,
15668309,17165711,,
15669682,17658672,,
15676016,3058132,,
15686444,15638932,,
15689046,8979434,,
15718981,1591270,,
15722867,9609048,KC,
15722990,9604434,,
15741865,6290724,,
15766806,13863331,,
15770140,12049797,,
15770867,855719,,
15792643,15610774,,
15810983,6699205,,
15825861,10944822,,
15825892,3765728,,
15897280,2669844,,
15974183,15662776,,
15985265,17827115,,
15995958,18080008,,
16007457,8840343,,
16014607,3122533,,
16026677,14495367,,
16045758,10684539,,
16051878,8951591,,
16059078,4130960,,
16087799,2775707,,
16089738,9641919,,
16089743,10340880,,
16095576,20370716,,
16098538,8670503,,
16100461,8711574,,
16141217,13722516,,
16160495,8814922,,
16167914,13834125,,
16223537,8980589,,
16259595,8246081,,
16316916,5592307,,
16327998,17173852,,
16340977,18232369,,
16342197,12031406,,
16345627,16671014,,
16348875,15601640,,
16356967,10319019,,
16361363,13953184,,
16366055,17654645,,
16383966,7371184,,
16385470,18098174,,
16386470,17013169,,
16409132,17896997,,
16415910,9116228,,
16422727,20443571,,
16422744,15589591,,
16424131,13167025,,
16427492,4180774,,
16428373,5369028,,
16431065,17587710,,
16433696,19132527,,
16434560,17328580,,
16434824,17355860,,
16435325,8995807,,
16435686,18861011,,
16442113,3814175,,
16444548,7807684,,
16444552,16339645,,
16444754,9072560,,
16444758,17762417,,
16445073,15481779,,
16445338,16350988,,
16464284,8184598,,
16468935,10781924,,
16472086,16433177,,
16474159,9291437,,
16475849,16823703,,
16485518,9621307,,
16486385,11178891,,
16490014,1141813,,
16492104,10617840,,
16494105,4108720,,
16541149,10079731,,
16544462,4515496,,
16544485,17937123,,
16544712,5730322,,
16545101,4812481,,
16545113,15732503,,
16545179,14501257,,
16545264,5164129,,
16547252,13003574,,
16547268,15732485,,
16547281,13722900,,
16547287,5167842,,
16547292,15732497,,
16547297,15589738,,
16554856,18570360,,
16560178,9068024,,
16561224,6702943,,
16561284,17173922,,
16562142,15894278,,
16588928,17355892,,
16594752,9530532,,
16629788,7786053,KC,
16630264,5836163,KC,
16630479,17012001,,
16635345,5859372,,
16636860,11623145,,
16637377,7962986,,
16667592,16950550,,
16675987,13646473,,
16676038,13645610,,
16683883,5956787,,
16683943,7530253,,
16686371,15431795,,
16693923,17654967,,
16713227,17659014,,
16742642,8546775,,
16753901,14328512,,
16782830,9469519,,
16799809,16369928,,
16799939,15676571,,
16838915,8544824,,
16846805,18028397,,
16848475,17980792,,
16848497,9798791,,
16848587,14753815,,
16851496,16339338,,
16851718,9097065,,
16851791,16340461,,
16852589,6610913,,
16852622,16950767,,
16856369,4185530,,
16856617,16561429,,
16868923,17013073,,
16883909,4234009,,
16886842,10784285,,
16906721,5590611,,
16928740,15560623,,
16931001,8709865,,
16933362,4234016,,
16935790,11359482,,
16937395,9519425,,
16937799,17654991,,
16937815,13411525,,
16950097,4847079,,
16950115,6609380,,
16950121,4849988,,
16950321,4127911,,
16952642,6155577,,
16952648,5900426,,
16952671,6154200,,
16952691,5052370,,
16959698,17658907,,
16961482,10403609,,
16977881,9796812,KC,
16058860,11813287,KC,
16978882,14127447,,
16985194,15068806,,
16992171,17356024,,
17000062,17755491,,
17016974,4022539,,
17022668,12474164,,
17038587,8065771,,
17047087,7431625,,
17053270,5319633,,
17062823,16393165,,
17075832,14039007,,
17086412,17362538,,
17087885,17324711,,
17102002,1065967,,
17105218,9067063,,
17105842,13849274,,
17105977,8970595,,
17108278,9051500,,
17109286,6653450,,
17110007,6188181,,
17110024,9037152,,
17110189,6182848,,
17140424,9753530,,
17147698,8094859,,
17150791,8712361,,
17165286,13046847,,
17165621,9422291,,
17165755,13727202,,
17170215,10660512,,
17176767,17176781,,
17176808,17176819,,
17176866,17176882,,
17176911,4575178,,
17177005,8019816,,
17177103,17177115,,
17177419,4227880,,
17223643,3251140,,
17223685,8880781,,
17237305,14948339,,
17244655,17360593,,
17276867,6611100,,
17277623,10013517,,
17280216,4337398,,
17295912,16353832,,
17300165,9848760,,
17306107,6111289,,
17315288,5326407,,
17321919,4215611,,
17340955,15605297,,
17352824,13137623,,
17354392,15636958,,
17354414,3021609,,
17355745,16158918,,
17355757,15617305,,
17356442,16443509,,
17356450,17355872,,
17356454,2557644,,
17356467,20242957,,
17358864,13842372,,
17358891,19190681,,
17359101,865151,,
17359111,16316973,,
17359133,869360,,
17359501,13763548,,
17360010,15638906,,
17360022,9565674,,
17360030,15636411,,
17360034,17378455,,
17360038,17378483,,
17360042,15656223,,
9718223,9856062,,not great match because one is only partially differentiated
17360070,15656826,,
17360076,15655801,,
17360254,4393350,,
17360262,14758420,,
17360266,14755393,,
17360282,14754777,,
17360286,17360225,,
17360296,14757992,,
17360404,4390116,,
17361757,12813847,,
17373283,10339991,,
17383431,9532295,,
17414715,8247641,,
17420035,8705088,,
17423125,5559657,,
17423412,13038489,,
17430685,20106468,,
17434825,16485079,,
17448356,13675374,,
17454636,15467736,,
17473163,16571210,,
17484564,17335266,,
17513284,17361566,,
17557290,10946002,,
17639784,17438424,,
17641913,13429045,,
