,ipsi_rho,contra_rho,match_ratio,sim,method,n_side
337,0.8,0.2,0.4444444444444444,168,BGM,9
338,0.8,0.2,1.0,169,GM,9
339,0.8,0.2,0.0,169,BGM,9
340,0.8,0.2,0.7777777777777778,170,GM,9
341,0.8,0.2,0.2222222222222222,170,BGM,9
342,0.8,0.2,1.0,171,GM,9
343,0.8,0.2,1.0,171,BGM,9
344,0.8,0.2,0.7777777777777778,172,GM,9
345,0.8,0.2,0.1111111111111111,172,BGM,9
346,0.8,0.2,1.0,173,GM,9
347,0.8,0.2,0.2222222222222222,173,BGM,9
348,0.8,0.2,0.7777777777777778,174,GM,9
349,0.8,0.2,0.1111111111111111,174,BGM,9
350,0.8,0.2,0.3333333333333333,175,GM,9
351,0.8,0.2,0.4444444444444444,175,BGM,9
352,0.8,0.2,1.0,176,GM,9
353,0.8,0.2,0.5555555555555556,176,BGM,9
354,0.8,0.2,0.2222222222222222,177,GM,9
355,0.8,0.2,0.2222222222222222,177,BGM,9
356,0.8,0.2,1.0,178,GM,9
357,0.8,0.2,0.4444444444444444,178,BGM,9
358,0.8,0.2,0.7777777777777778,179,GM,9
359,0.8,0.2,1.0,179,BGM,9
360,0.8,0.2,0.4444444444444444,180,GM,9
361,0.8,0.2,0.3333333333333333,180,BGM,9
362,0.8,0.2,0.5555555555555556,181,GM,9
363,0.8,0.2,1.0,181,BGM,9
364,0.8,0.2,1.0,182,GM,9
365,0.8,0.2,1.0,182,BGM,9
366,0.8,0.2,1.0,183,GM,9
367,0.8,0.2,1.0,183,BGM,9
368,0.8,0.2,1.0,184,GM,9
369,0.8,0.2,0.4444444444444444,184,BGM,9
370,0.8,0.2,0.5555555555555556,185,GM,9
371,0.8,0.2,0.1111111111111111,185,BGM,9
372,0.8,0.2,1.0,186,GM,9
373,0.8,0.2,0.1111111111111111,186,BGM,9
374,0.8,0.2,0.3333333333333333,187,GM,9
375,0.8,0.2,0.2222222222222222,187,BGM,9
376,0.8,0.2,0.7777777777777778,188,GM,9
377,0.8,0.2,1.0,188,BGM,9
378,0.8,0.2,1.0,189,GM,9
379,0.8,0.2,1.0,189,BGM,9
380,0.8,0.2,1.0,190,GM,9
381,0.8,0.2,1.0,190,BGM,9
382,0.8,0.2,1.0,191,GM,9
383,0.8,0.2,0.4444444444444444,191,BGM,9
384,0.8,0.2,0.2222222222222222,192,GM,9
